"Indicador","Cluster_Grupo"
"IECO0001",1
"IECO0002",1
"ISOC0005",1
"ISOC0006",1
"ISOC0007",1
"ISOC0008",1
"IECO0018",1
"IECO0019",1
"IAMB0001",2
"IECO0005",2
"IAMB0002",2
"IECO0009",2
"ISOC0010",3
"IECO0032",3
"IECO0034",3
"IECO0036",3
"IECO0037",3
"IECO0038",3
"IECO0039",3
"IECO0040",3
"IECO0042",3
"IECO0043",3
"IECO0044",3
"IECO0045",3
"IECO0046",3
"IECO0047",3
"IECO0048",3
"IECO0049",3
"IECO0050",3
"IECO0051",3
"IECO0052",3
"IECO0053",3
"IECO0054",3
"IECO0055",3
"IECO0056",3
"IECO0057",3
"IECO0058",3
"IECO0059",3
"IECO0041",3
"IECO0026",3
"ISOC0013",3
"IECO0029",3
"IECO0033",4
"IECO0035",4
"IECO0027",4
"IECO0066",4
"IECO0065",4
"IECO0064",4
