"region","year","score_puro","indice_0_100"
"ES-AN",2022,1.5933236801643,100
"ES-IB",2022,1.50902822140721,97.8602628831659
"ES-MD",2022,1.13415504598731,88.3445658411363
"ESP",2022,1.05230424996036,86.2668834975837
"ES-CE",2022,1.04486972253728,86.0781671122905
"ES-ML",2022,0.983022373327846,84.5082477995245
"ES-CT",2022,0.877513600826157,81.8300366597759
"ES-PV",2022,0.755243020593097,78.7263475325192
"ES-VC",2022,0.645704146959877,75.9458372048561
"ES-MC",2022,0.481169658185904,71.769330453247
"ES-CL",2022,0.237215996424481,65.576865134769
"ES-CB",2022,-0.389703549422691,49.6632792631569
"ES-NC",2022,-0.568794200347178,45.1172821393338
"ES-CN",2022,-0.757677393215364,40.3227133157532
"ES-GA",2022,-0.932287820345802,35.8904411930773
"ES-AS",2022,-1.18094678992935,29.5785373907049
"ES-RI",2022,-1.33443882052408,25.6823299336913
"ES-EX",2022,-1.37433885559552,24.6695163460536
"ES-CM",2022,-1.42916189693887,23.2779004968757
"ES-AR",2022,-2.34620039005498,0
