"region","year","composite_index","composite_index_normalized"
"ES-AN",2022,1.05422531912922,68.1022431986258
"ES-AR",2022,-2.11242238438674,2.48956542439158
"ES-AS",2022,-0.42567001618606,37.4389345938123
"ES-CB",2022,-1.20243774022024,21.3443717771491
"ES-CE",2022,1.2563048396648,72.2893141035929
"ES-CL",2022,-1.09318139013088,23.6081542892494
"ES-CM",2022,-2.23257563679672,0
"ES-CN",2022,2.59369850859335,100
"ES-CT",2022,0.0161794284197509,46.5940184389323
"ES-EX",2022,1.70748473417041,81.6377240967666
"ES-GA",2022,0.130642827339976,48.9656905709341
"ES-IB",2022,-1.41527043260527,16.9344960433324
"ES-MC",2022,1.60985232093087,79.6147885921022
"ES-MD",2022,-0.502462396694402,35.8478028388602
"ES-ML",2022,0.783685096870056,62.496672232095
"ES-NC",2022,-0.0766983238104529,44.6695991160284
"ES-PV",2022,1.12010275676181,69.4672182424806
"ES-RI",2022,-0.921537102375601,27.1646096953152
"ES-VC",2022,-0.1693395147004,42.7500813244741
"ESP",2022,-0.120580893973483,43.7603559018826
