"indicator_id","weight","weight_normalized"
"IECO0066",8.39105776824943,0.0839105776824943
"IECO0064",8.22950401841351,0.0822950401841351
"IECO0026",7.97082873246985,0.0797082873246985
"IECO0032",7.94738616536291,0.0794738616536291
"IECO0018",7.94478603248229,0.0794478603248229
"IECO0065",7.77206964046229,0.0777206964046229
"IECO0002",6.7982719686843,0.067982719686843
"IECO0034",6.64341017944877,0.0664341017944877
"IECO0001",6.60182974566682,0.0660182974566682
"IECO0027",6.23950668667629,0.0623950668667629
"IECO0019",6.20881679772034,0.0620881679772034
"IECO0033",6.03828542259456,0.0603828542259456
"IECO0029",5.38736808151471,0.0538736808151471
"IECO0005",2.99827491214071,0.0299827491214071
"IECO0035",2.95714846547287,0.0295714846547286
"IECO0009",1.87145538264037,0.0187145538264037
